Date,Item,Item desc.,Quantity,Ext. quantity, Price , Purchase amount , Amount ,PO number,Entered date,[ItemInventoryCode],NA Item #,Item Desc.,IBPI Price,Unit Difference,Total Difference,Total Savings 
6/2/2023,108R01420,Xerox Phaser 6510 WorkCentre 6515 Black Drum Cartridge 48000 Yield,1,1, $ 50.00 , $ 50.00 , $ 50.00 ,3676-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
8/18/2023,108R01490,Xerox VersaLink B605 B615 C505 C605 Scanner Maintenance Kit 200000 Yield,1,1, $ 23.10 , $ 23.10 , $ 23.10 ,4177-0,8/18/2023,Parts,#N/A,#N/A,#N/A,,,
5/9/2023,113R00780,Xerox C7020 C7025 C7030 Black Drum Unit 87000 Yield,3,3, $ 125.22 , $ 375.66 , $ 375.66 ,3412-0,5/9/2023,Parts,#N/A,#N/A,#N/A,,,
6/2/2023,113R00780,Xerox C7020 C7025 C7030 Black Drum Unit 87000 Yield,1,1, $ 150.00 , $ 150.00 , $ 150.00 ,3676-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
6/2/2023,115R00088,Xerox VersaLink C400 C405 WorkCentre 6655 Fuser 110V 100000 Yield,1,1, $ 76.69 , $ 76.69 , $ 76.69 ,3676-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
10/17/2023,115R00088,Xerox VersaLink C400 C405 WorkCentre 6655 Fuser 110V 100000 Yield,1,1, $ 167.55 , $ 167.55 , $ 167.55 ,5823-0,10/17/2023,Parts,#N/A,#N/A,#N/A,,,
9/11/2023,115R00119,Xerox VersaLink B400 B405 Fuser Maintenance Kit 110V Includes Fuser Bias Transfer Roller,1,1, $ 265.90 , $ 265.90 , $ 265.90 ,5156-0,9/11/2023,Parts,#N/A,#N/A,#N/A,,,
10/18/2023,115R00119,Xerox VersaLink B400 B405 Fuser Maintenance Kit 110V Includes Fuser Bias Transfer Roller,1,1, $ 265.90 , $ 265.90 , $ 265.90 ,5823-0,10/18/2023,Parts,#N/A,#N/A,#N/A,,,
12/26/2023,115R00119,Xerox VersaLink B400 B405 Fuser Maintenance Kit 110V Includes Fuser Bias Transfer Roller,1,1, $ 265.90 , $ 265.90 , $ 265.90 ,6380-0,12/26/2023,Parts,#N/A,#N/A,#N/A,,,
10/5/2023,115R00128,Xerox C7020 C7025 C7030 Waste Toner Bottle 30000 Yield,1,1, $ 29.03 , $ 29.03 , $ 29.03 ,5669-0,10/5/2023,Supplies,#N/A,#N/A,#N/A,,,
2/22/2024,115R00128,Xerox C7020 C7025 C7030 Waste Toner Bottle 30000 Yield,1,1, $ 29.03 , $ 29.03 , $ 29.03 ,7881-0,2/22/2024,Supplies,#N/A,#N/A,#N/A,,,
6/2/2023,116R00003,Xerox Tray Roller Kit B405/WC3615,3,3, $ 5.00 , $ 15.00 , $ 15.00 ,3676-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
6/2/2023,116R00010,Xerox VersaLink B600 B605 B610 B615 C500 C505 C600 C605 Paper Tray Feed Roller Kit 100000 Yield,2,2, $ 7.00 , $ 14.00 , $ 14.00 ,3676-0,6/2/2023,Parts,#N/A,#N/A,#N/A,,,
5/3/2023,116R00018,Xerox VersaLink C405Z Cyan Toner Cartridge 12900 Yield,1,1, $ 130.26 , $ 130.26 , $ 130.26 ,3354-0,5/3/2023,Supplies,#N/A,#N/A,#N/A,,,
5/30/2023,116R00018,Xerox VersaLink C405Z Cyan Toner Cartridge 12900 Yield,1,1, $ 145.00 , $ 145.00 , $ 145.00 ,3642-0,5/30/2023,Supplies,#N/A,#N/A,#N/A,,,
5/31/2023,116R00018,Xerox VersaLink C405Z Cyan Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,3510-0,5/31/2023,Supplies,#N/A,#N/A,#N/A,,,
6/26/2023,116R00018,Xerox VersaLink C405Z Cyan Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,3289-1-0,6/26/2023,Supplies,#N/A,#N/A,#N/A,,,
9/5/2023,116R00018,Xerox VersaLink C405Z Cyan Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,5103-0,9/5/2023,Supplies,#N/A,#N/A,#N/A,,,
11/2/2023,116R00018,Xerox VersaLink C405Z Cyan Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,6084-0,11/2/2023,Supplies,#N/A,#N/A,#N/A,,,
5/3/2023,116R00019,Xerox VersaLink C405Z Magenta Toner Cartridge 12900 Yield,1,1, $ 130.30 , $ 130.30 , $ 130.30 ,3354-0,5/3/2023,Supplies,#N/A,#N/A,#N/A,,,
6/23/2023,116R00019,Xerox VersaLink C405Z Magenta Toner Cartridge 12900 Yield,1,1, $ 149.00 , $ 149.00 , $ 149.00 ,4004-1-0,6/23/2023,Supplies,#N/A,#N/A,#N/A,,,
6/26/2023,116R00019,Xerox VersaLink C405Z Magenta Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,3289-1-0,6/26/2023,Supplies,#N/A,#N/A,#N/A,,,
9/26/2023,116R00019,Xerox VersaLink C405Z Magenta Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,5103-0,9/26/2023,Supplies,#N/A,#N/A,#N/A,,,
10/6/2023,116R00019,Xerox VersaLink C405Z Magenta Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,5709-0,10/6/2023,Supplies,#N/A,#N/A,#N/A,,,
12/1/2023,116R00019,Xerox VersaLink C405Z Magenta Toner Cartridge 12900 Yield,1,1, $ 116.09 , $ 116.09 , $ 116.09 ,6084-0,12/1/2023,Supplies,#N/A,#N/A,#N/A,,,
